City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
583,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
591,Gigmoto,PH,80.38,overcast clouds,13.7796,124.39,Cj's Travellers Inn
598,Ratnagiri,IN,86.07,clear sky,16.9833,73.3,Hotel Landmark
599,Sumbe,AO,80.58,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
610,Araure,VE,81.14,overcast clouds,9.5601,-69.2148,Hotel Las Majaguas
611,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
614,Maputo,MZ,77.23,scattered clouds,-25.9653,32.5892,Pestana Rovuma
617,Itacare,BR,83.34,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
619,Mangai,CD,86.18,light rain,-4.05,19.5333,
622,Yenagoa,NG,89.6,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
627,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
628,Esmeraldas,BR,77.86,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
629,Zemio,CF,89.91,overcast clouds,5.0314,25.1361,OCHA Office
631,Kuala Lumpur,MY,85.53,few clouds,3.1431,101.6865,Sheraton Imperial Kuala Lumpur Hotel
632,Kikwit,CD,84.56,light rain,-5.041,18.8162,HOTEL PLACE YALABA
644,Miri,MY,80.38,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
646,Bhatkal,IN,84.58,overcast clouds,13.9667,74.5667,Nilawar Palace
647,Ipixuna,BR,77.72,overcast clouds,-1.7625,-48.8043,Chalé do Mato
650,Ponneri,IN,89.58,clear sky,13.3167,80.2,Dhasaratha Nagar Park
